Author	DOB	DOB_WIP	POB	POB_WIP	DOD	DOD_WIP	POD	POD_WIP	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthPlace_WIP	birthDate	birthDate_WIP	deathPlace	deathPlace_WIP	deathDate	deathDate_WIP	gender	geb_plaats	geb_plaats_WIP	birthCountry	birthCountry_WIP	overl_plaats	overl_plaats_WIP	deathCountry	deathCountry_WIP	period	geboortedatum	geboortedatum_WIP	sterfdatum	sterfdatum_WIP	language	category	profession	organisation
H.J. Vieu-Kuik	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=vieu001	vieu001	Hermina Jantina	Vieu-Kuik	H.J. Vieu-Kuik				19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx			nl	secundair		
H. de Lange	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=lang004	lang004	Herman	de Lange	H. de Lange				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				nonfictie		
O.J. de Jong	14 oktober 1926	1926-10-14	Culemborg	Culemborg	14 november 2013	2013-11-14	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=jong048	jong048	Otto Jan	de Jong	O.J. de Jong	leraar/archeoloog/hoogleraar/docent/historicus	Culemborg	Culemborg	10/14/1926	1926-10-14	Amsterdam	Amsterdam	11/14/2013	2013-11-14	male	Culemborg	Culemborg			Amsterdam	Amsterdam			20e/21e Eeuw	14 oktober 1926	1926-10-14	14 november 2013	2013-11-14	nl	nonfictie	leraar/archeoloog/hoogleraar/docent/historicus	
H.F.J.M. van den Eerenbeemt	1 januari 1930	1930-01-01	Roosendaal	Roosendaal	7 juli 2008	2008-07-07	Tilburg	Tilburg	https://www.dbnl.org/auteurs/auteur.php?id=eere009	eere009	Henricus Ferdinandus Josephus Maria	van den Eerenbeemt	H.F.J.M. van den Eerenbeemt/H.V.D.E./Harry van den Eerenbeemt	leraar/archeoloog/hoogleraar/docent/historicus	Roosendaal	Roosendaal	1/1/1930	1930-01-01	Tilburg	Tilburg	7/7/2008	2008-07-07	male	Roosendaal	Roosendaal			Tilburg	Tilburg			20e/21e Eeuw	1 januari 1930	1930-01-01	7 juli 2008	2008-07-07		nonfictie	leraar/archeoloog/hoogleraar/docent/historicus	
W.M. Zappey	1931	1931-xx-xx			2000	2000-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=zapp001	zapp001	Wilhelmus M.	Zappey	W.M. Zappey				1931	1931-xx-xx			2000	2000-xx-xx	male									Twintigste Eeuw	1931	1931-xx-xx	2000	2000-xx-xx		nonfictie		
Rob Rentenaar	1938	1938-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=rent001	rent001	Robert	Rentenaar	Koos Rentjes/Rob Rentenaar	archeoloog/historicus			1938	1938-xx-xx					male									Twintigste Eeuw	1938	1938-xx-xx				nonfictie	archeoloog/historicus	
W. Burger	1931	1931-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=burg065	burg065	W.	Burger	W. Burger				1931	1931-xx-xx					male									Twintigste Eeuw	1931	1931-xx-xx				nonfictie		
Peter Harper	20ste eeuw	19xx-xx-xx	Groot-Brittannië (en Noord-Ierland)	Groot-Brittannië					https://www.dbnl.org/auteurs/auteur.php?id=harp007	harp007	Peter	Harper	Peter Harper				19xx	19xx-xx-xx					male			Groot-Brittannië (en Noord-Ierland)	Groot-Brittannië (en Noord-Ierland)					Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie/buitenland		
Ivan Illich	4 september 1926	1926-09-04	Wenen	Wenen	2 december 2002	2002-12-02	Bremen	Bremen	https://www.dbnl.org/auteurs/auteur.php?id=illi001	illi001	Ivan	Illich	Ivan Illich				9/4/1926	1926-09-04			12/2/2002	2002-12-02	male	Wenen	Wenen	Oostenrijk	Oostenrijk	Bremen	Bremen	Duitsland	Duitsland	Twintigste Eeuw	4 september 1926	1926-09-04	2 december 2002	2002-12-02		nonfictie/buitenland		
C. Schepel	1938	1938-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=sche318	sche318	Cornelis	Schepel	C. Schepel				1938	1938-xx-xx					male									Twintigste Eeuw	1938	1938-xx-xx				nonfictie		
John H. Schaar	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=scha229	scha229	John Homer	Schaar	John H. Schaar				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie/buitenland		
Sheldon S. Wolin	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=woli001	woli001	Sheldon Sanford	Wolin	Sheldon S. Wolin				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie/buitenland		
Bart van Steenbergen	1940	1940-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=stee168	stee168	Barend	van Steenbergen	Bart van Steenbergen				1940	1940-xx-xx					male									Twintigste Eeuw	1940	1940-xx-xx				nonfictie		
Bram van der Lek	1931	1931-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=lek_002	lek_002	Bram	van der Lek	Bart van Delft/Bram van der Lek				1931	1931-xx-xx					male									Twintigste Eeuw	1931	1931-xx-xx				nonfictie		
Peter Hoefnagels	26 oktober 1927	1927-10-26	Bilthoven	Bilthoven	24 november 2011	2011-11-24	Lochem	Lochem	https://www.dbnl.org/auteurs/auteur.php?id=hoef005	hoef005	Gerardus Petrus	Hoefnagels	Bella Teloor/Peter Hoefnagels	advocaat/jurist	Bilthoven	Bilthoven	10/26/1927	1927-10-26	Lochem	Lochem	11/24/2011	2011-11-24	male	Bilthoven	Bilthoven			Lochem	Lochem			20e/21e Eeuw	26 oktober 1927	1927-10-26	24 november 2011	2011-11-24	nl	suriname	leraar/jurist/hoogleraar/staatsman/docent/bestuurder/politicus/advocaat	
J.J.G. Syatauw	1923	1923-xx-xx	Bandung	Bandung	8 februari 2015	2015-02-08			https://www.dbnl.org/auteurs/auteur.php?id=syat001	syat001	Joop	Syatauw	J.J.G. Syatauw	leraar/jurist/hoogleraar/docent/advocaat			1923	1923-xx-xx			2/8/2015	2015-02-08	male	Bandung	Bandung	Indonesië	Indonesië					Twintigste Eeuw	1923	1923-xx-xx	8 februari 2015	2015-02-08		nonfictie	leraar/jurist/hoogleraar/docent/advocaat	
A. van 't Laar	1945	1945-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=laar028	laar028	A.	van 't Laar	A. van 't Laar				1945	1945-xx-xx					male									Twintigste Eeuw	1945	1945-xx-xx				nonfictie		
J.Th.M. Palstra	1943	1943-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=pals003	pals003	J.Th.M.	Palstra	J.Th.M. Palstra	advocaat/jurist			1943	1943-xx-xx					male									Twintigste Eeuw	1943	1943-xx-xx				nonfictie	advocaat/jurist	
Hugh P. Gallacher	1946	1946-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=gall036	gall036	Hugh Patrick	Gallacher	Hugh P. Gallacher	leraar/docent/hoogleraar/natuurwetenschapper			1946	1946-xx-xx					male									Twintigste Eeuw	1946	1946-xx-xx				nonfictie	leraar/docent/hoogleraar/natuurwetenschapper	
C.J. Stigter	1940	1940-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=stig005	stig005	C.J.	Stigter	C.J. Stigter	natuurwetenschapper			1940	1940-xx-xx					male									Twintigste Eeuw	1940	1940-xx-xx				nonfictie	natuurwetenschapper	
Frans Verpoorten jr.	1947	1947-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=verp006	verp006	Frans	Verpoorten jr.	Frans Verpoorten jr./Joyce & Co.	vertaler	Haarlem	Haarlem	1947	1947-xx-xx					male	Haarlem	Haarlem							Twintigste Eeuw	1947	1947-xx-xx				secundair/nonfictie	vertaler	
Keith Snell	16 maart 1951	1951-03-16							https://www.dbnl.org/auteurs/auteur.php?id=snel034	snel034	Kees Robert Jozef	Snell	Joyce & Co./Kees Robert Jozef Kanger Snell/Kees Snel/Keith Snell	vertaler	Soestdijk	Soestdijk	3/16/1951	1951-03-16	Leiden	Leiden	6/18/2010	2010-06-18	male	Soestdijk	Soestdijk			Leiden	Leiden			20e/21e Eeuw	16 maart 1951	1951-03-16	18 juni 2010	2010-06-18	nl	secundair/nonfictie	vertaler	
Erwin Garden	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=gard015	gard015	Erwin	Garden	Erwin Garden				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx						
J. Hetterschij	1937	1937-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=hett013	hett013	J.	Hetterschij	Hanny Hetterschij-Lammen/J. Hetterschij				1937	1937-xx-xx					female									Twintigste Eeuw	1937	1937-xx-xx						
H.H. ter Balkt	17 september 1938	1938-09-17	Enschede	Enschede	9 maart 2015	2015-03-09	Nijmegen	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=balk003	balk003	Herman Hendrik	ter Balkt	Aos/Foel Aos Habakuk II de Balker/H.H. ter Balkt/Habakuk II de Balker	onderwijzer (basisschool)	Enschede	Enschede	9/17/1938	1938-09-17	Nijmegen	Nijmegen	3/9/2015	2015-03-09	male	Enschede	Enschede			Nijmegen	Nijmegen			20e/21e Eeuw	17 september 1938	1938-09-17	9 maart 2015	2015-03-09	nl		onderwijzer (basisschool)	
H.M.A. Struyker Boudier	1934	1934-xx-xx			1996	1996-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=stru003	stru003	Hendrikus Maria Adrianus	Struyker Boudier	H.M.A. Struyker Boudier				1934	1934-xx-xx			1996	1996-xx-xx	male									Twintigste Eeuw	1934	1934-xx-xx	1996	1996-xx-xx	nl	secundair		
Fred Bornstein	1940	1940-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=born005	born005	Fred	Bornstein	Fred Bornstein/Freddie Bornstein	leraar/docent/hoogleraar			1940	1940-xx-xx					male									Twintigste Eeuw	1940	1940-xx-xx					leraar/docent/hoogleraar	
D.W. Fokkema	4 mei 1931	1931-05-04	Utrecht	Utrecht	23 augustus 2011	2011-08-23	Amstelveen	Amstelveen	https://www.dbnl.org/auteurs/auteur.php?id=fokk005	fokk005	Douwe Wessel	Fokkema	D.W. Fokkema/Duwei Fokema	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	Utrecht	Utrecht	5/4/1931	1931-05-04	Amstelveen	Amstelveen	8/23/2011	2011-08-23	male	Utrecht	Utrecht			Amstelveen	Amstelveen			20e/21e Eeuw	4 mei 1931	1931-05-04	23 augustus 2011	2011-08-23		secundair/nonfictie/buitenland	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	
Bouke B. Jagt	5 mei 1942	1942-05-05	Padang	Padang					https://www.dbnl.org/auteurs/auteur.php?id=jagt001	jagt001	Bouke Bonifacius	Jagt	Bouke B. Jagt				5/5/1942	1942-05-05					male	Padang	Padang	Indonesië	Indonesië					20e/21e Eeuw	5 mei 1942	1942-05-05			nl			
Fons Elders	1936	1936-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=elde004	elde004	Fons	Elders	Fons Elders	filosoof			1936	1936-xx-xx					male									Twintigste Eeuw	1936	1936-xx-xx			nl	secundair	filosoof	
Bernt Luger	1934	1934-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=luge001	luge001	Bernt	Luger	Bernt Luger/L. Nijland	leraar/docent/hoogleraar			1934	1934-xx-xx			1996	1996-xx-xx	male	Amsterdam	Amsterdam							Twintigste Eeuw	1934	1934-xx-xx	1996	1996-xx-xx	nl	secundair/nonfictie	leraar/docent/hoogleraar	
Ben Bos	1934	1934-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=bos_002	bos_002	Ben	Bos	Ben Bos				1934	1934-xx-xx			8/25/2006	2006-08-25	male									20e/21e Eeuw	1934	1934-xx-xx	25 augustus 2006	2006-08-25	nl	secundair		
Jaap van Ginneken	1943	1943-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=ginn005	ginn005	Jaap	van Ginneken	Jaap van Ginneken				1943	1943-xx-xx					male	Hilversum	Hilversum							20e/21e Eeuw	1943	1943-xx-xx				nonfictie	redacteur/journalist	
R.D. Schuiling	26 februari 1932	1932-02-26							https://www.dbnl.org/auteurs/auteur.php?id=schu195	schu195	Roelof Dirk (Olaf)	Schuiling	Olaf Schuiling/R.D. Schuiling	leraar/docent/hoogleraar	Arnhem	Arnhem	2/26/1932	1932-02-26					male	Arnhem	Arnhem							Twintigste Eeuw	26 februari 1932	1932-02-26			nl	nonfictie	leraar/docent/hoogleraar	
A.L. Vos	17 januari 1919	1919-01-17	Amsterdam	Amsterdam	2010	2010-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=vos_073	vos_073	Andries Laurens	Vos	A.L. Vos	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	Amsterdam	Amsterdam	1/17/1919	1919-01-17			2010	2010-xx-xx	male	Amsterdam	Amsterdam							Twintigste Eeuw	17 januari 1919	1919-01-17	2010	2010-xx-xx		taalkunde	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	
Friedhelm Debus	3 februari 1932	1932-02-03	Oberdieten	Oberdieten					https://www.dbnl.org/auteurs/auteur.php?id=debu002	debu002	Friedhelm Ludwig	Debus	Friedhelm Debus	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar			2/3/1932	1932-02-03					male	Oberdieten	Oberdieten	Duitsland	Duitsland					20e/21e Eeuw	3 februari 1932	1932-02-03				taalkunde	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	
Mischa de Vreede	17 september 1936	1936-09-17	Batavia	Batavia					https://www.dbnl.org/auteurs/auteur.php?id=vree004	vree004	Mischa	de Vreede	Mischa de Vreede				9/17/1936	1936-09-17	Amsterdam	Amsterdam	5/12/2020	2020-05-12	female	Batavia	Batavia	Indonesië	Indonesië	Amsterdam	Amsterdam			20e/21e Eeuw	17 september 1936	1936-09-17	12 mei 2020	2020-05-12	nl	secundair/jeugdliteratuur/buitenland		
Camiel Hamans	1948	1948-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=hama002	hama002	Camiel S.J.M.	Hamans	Camiel Hamans				1948	1948-xx-xx					male									20e/21e Eeuw	1948	1948-xx-xx				taalkunde		
Dolph Kohnstamm	20 februari 1937	1937-02-20	Amsterdam	Amsterdam					https://www.dbnl.org/auteurs/auteur.php?id=kohn001	kohn001	Geldolph Adriaan	Kohnstamm	Dolph Kohnstamm	redacteur/journalist	Amsterdam	Amsterdam	2/20/1937	1937-02-20					male	Amsterdam	Amsterdam							20e/21e Eeuw	20 februari 1937	1937-02-20			nl	secundair/taalkunde	redacteur/journalist	
J.R. Slotemaker de Bruine	6 mei 1869	1869-05-06	Sliedrecht	Sliedrecht	1 mei 1941	1941-05-01	Wassenaar	Wassenaar	https://www.dbnl.org/auteurs/auteur.php?id=slot010	slot010	Jan Rudolph	Slotemaker de Bruine	J.R. Slotemaker de Bruine	leraar/staatsman/bestuurder/politicus/herv./geref. predikant	Sliedrecht	Sliedrecht	1869-05-06	1869-05-06	Wassenaar	Wassenaar	5/1/1941	1941-05-01	male	Sliedrecht	Sliedrecht			Wassenaar	Wassenaar			19e/20e Eeuw	6 mei 1869	1869-05-06	1 mei 1941	1941-05-01	nl	nonfictie	leraar/staatsman/bestuurder/politicus/herv./geref. predikant	
Matthijs Siegenbeek	23 juni 1774	1774-06-23	Amsterdam	Amsterdam	26 november 1854	1854-11-26	Leiden	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=sieg002	sieg002	Matthijs	Siegenbeek	Matthijs Siegenbeek		Amsterdam	Amsterdam	1774-06-23	1774-06-23	Leiden	Leiden	1854-11-26	1854-11-26	male	Amsterdam	Amsterdam			Leiden	Leiden			Negentiende Eeuw	23 juni 1774	1774-06-23	26 november 1854	1854-11-26	nl	secundair/taalkunde/jeugdliteratuur		
L.U. de Sitter	1930	1930-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=sitt013	sitt013	Lamoraal Ulbo	de Sitter	L.U. de Sitter				1930	1930-xx-xx					male									Twintigste Eeuw	1930	1930-xx-xx				nonfictie		
H. Baudet	29 januari 1919	1919-01-29	Den Haag	Den Haag	16 december 1998	1998-12-16	Leiden	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=baud010	baud010	Ernest Henri Philippe	Baudet	H. Baudet/Han Baudet/Henri Baudet	journalist/leraar/archeoloog/hoogleraar/redacteur/docent/historicus	Den Haag	Den Haag	1/29/1919	1919-01-29	Leiden	Leiden	12/16/1998	1998-12-16	male	Den Haag	Den Haag			Leiden	Leiden			Twintigste Eeuw	29 januari 1919	1919-01-29	16 december 1998	1998-12-16		secundair	journalist/leraar/archeoloog/redacteur/hoogleraar/docent/historicus	
C.D. Saal	1917	1917-xx-xx			1986	1986-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=saal004	saal004	Cornelis Dirk	Saal	C.D. Saal/Kees Saal				1917	1917-xx-xx			1986	1986-xx-xx	male									Twintigste Eeuw	1917	1917-xx-xx	1986	1986-xx-xx		nonfictie		
S.J. Doorman	7 december 1928	1928-12-07	Den Haag	Den Haag	2 november 2009	2009-11-02			https://www.dbnl.org/auteurs/auteur.php?id=door084	door084	Simon Joseph	Doorman	Joop Doorman/S.J. Doorman	leraar/docent/hoogleraar	Den Haag	Den Haag	12/7/1928	1928-12-07			11/2/2009	2009-11-02	male	Den Haag	Den Haag							Twintigste Eeuw	7 december 1928	1928-12-07	2 november 2009	2009-11-02		nonfictie	leraar/docent/hoogleraar	
J.M.W. van Ussel	1918	1918-xx-xx			1976	1976-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=usse002	usse002	Jozef Maria Willem	van Ussel	J.M.W. van Ussel	archeoloog/historicus			1918	1918-xx-xx			1976	1976-xx-xx	male									Twintigste Eeuw	1918	1918-xx-xx	1976	1976-xx-xx	nl	secundair	archeoloog/historicus	
J. van Baal	25 november 1909	1909-11-25	Scheveningen	Scheveningen	9 augustus 1992	1992-08-09	Doorn	Doorn	https://www.dbnl.org/auteurs/auteur.php?id=baal010	baal010	Jan	van Baal	J. van Baal	ambtenaar/leraar/hoogleraar/staatsman/docent/bestuurder/politicus	Scheveningen	Scheveningen	11/25/1909	1909-11-25	Doorn	Doorn	8/9/1992	1992-08-09	male	Scheveningen	Scheveningen			Doorn	Doorn			Twintigste Eeuw	25 november 1909	1909-11-25	9 augustus 1992	1992-08-09		nonfictie	ambtenaar/leraar/hoogleraar/staatsman/docent/bestuurder/politicus	
E.V.W. Vercruijsse	1927	1927-xx-xx			1982	1982-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=verc013	verc013	Emile Victor Wijnand	Vercruijsse	E.V.W. Vercruijsse				1927	1927-xx-xx			1982	1982-xx-xx	male									Twintigste Eeuw	1927	1927-xx-xx	1982	1982-xx-xx		nonfictie		
Jan Donkers	15 juni 1943	1943-06-15	Amsterdam	Amsterdam					https://www.dbnl.org/auteurs/auteur.php?id=donk005	donk005	Jan	Donkers	Jan Donkers	redacteur/journalist	Amsterdam	Amsterdam	6/15/1943	1943-06-15					male	Amsterdam	Amsterdam							20e/21e Eeuw	15 juni 1943	1943-06-15			nl		redacteur/journalist	
Adam Szirmai	1946	1946-xx-xx	Boedapest	Boedapest					https://www.dbnl.org/auteurs/auteur.php?id=szir002	szir002	Adam	Szirmai	Adam Szirmai/Eddy Szirmai				1946	1946-xx-xx			1/11/2020	2020-01-11	male	Boedapest	Boedapest	Hongarije	Hongarije					20e/21e Eeuw	1946	1946-xx-xx	11 januari 2020	2020-01-11		nonfictie/buitenland		
Eddy van Vliet	11 september 1942	1942-09-11	Antwerpen	Antwerpen	5 oktober 2002	2002-10-05	Roeselare	Roeselare	https://www.dbnl.org/auteurs/auteur.php?id=vlie008	vlie008	Eduard Léon Juliaan	van Vliet	Eddy van Vliet	advocaat/jurist	Antwerpen	Antwerpen	9/11/1942	1942-09-11	Roeselare	Roeselare	10/5/2002	2002-10-05	male	Antwerpen	Antwerpen			Roeselare	Roeselare			20e/21e Eeuw	11 september 1942	1942-09-11	5 oktober 2002	2002-10-05	nl		advocaat/jurist	
H.J. Verkuyl	1938	1938-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=verk007	verk007	Hendrik Jacob	Verkuyl	H.J. Verkuyl/H.J. Verschuyl				1938	1938-xx-xx					male									Twintigste Eeuw	1938	1938-xx-xx			nl	taalkunde		
Raymond ten Berge	1939	1939-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=berg027	berg027	Raymond	ten Berge	Raymond ten Berge	archeoloog/historicus			1939	1939-xx-xx					male									Twintigste Eeuw	1939	1939-xx-xx					archeoloog/historicus	
Jan W.H. Wentink	1945	1945-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=went015	went015	Jan W.H.	Wentink	Jan W.H. Wentink				1945	1945-xx-xx					male									Twintigste Eeuw	1945	1945-xx-xx						
W.E. Krul	1950	1950-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=krul008	krul008	Wessel Evert	Krul	W.E. Krul				1950	1950-xx-xx					male	Bennekom	Bennekom							20e/21e Eeuw	2 juli 1950	1950-07-02				secundair/nonfictie	archeoloog/historicus	
Marianne Vos	1947	1947-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=vos_074	vos_074	Marianne	Vos	Marianne Vos				1947	1947-xx-xx					female									Twintigste Eeuw	1947	1947-xx-xx						
Rob Bognár	1946	1946-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=bogn001	bogn001	Robert	Bognár	R.J. Bognàr/Rob Bognár				1946	1946-xx-xx					male									Twintigste Eeuw	1946	1946-xx-xx						
Bert Vanheste	6 november 1937	1937-11-06	Pervijze	Pervijze	23 februari 2007	2007-02-23	Nijmegen	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=vanh008	vanh008	Gilbert Leon Cornelius	Vanheste	Bert Brouwers/Bert Vanheste		Pervijze	Pervijze	11/6/1937	1937-11-06	Nijmegen	Nijmegen	2/23/2007	2007-02-23	male	Pervijze	Pervijze			Nijmegen	Nijmegen			20e/21e Eeuw	6 november 1937	1937-11-06	23 februari 2007	2007-02-23	nl	nonfictie	leraar/docent/hoogleraar	
Berend Lasseur	1946	1946-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=lass005	lass005	Berend	Lasseur	Berend Lasseur				1946	1946-xx-xx					male									Twintigste Eeuw	1946	1946-xx-xx						
Jan Pluvier	12 januari 1927	1927-01-12							https://www.dbnl.org/auteurs/auteur.php?id=pluv002	pluv002	Jan Meinhard	Pluvier	Jan Pluvier		Schoten	Schoten	1/12/1927	1927-01-12					male	Schoten	Schoten							Twintigste Eeuw	12 januari 1927	1927-01-12			nl	nonfictie		
Imke van der Steur	1932	1932-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=steu023	steu023	Imke	van der Steur	Imke van der Steur				1932	1932-xx-xx					female									Twintigste Eeuw	1932	1932-xx-xx				secundair		
Derek Phillips	1934	1934-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=phil065	phil065	Derek Lee	Phillips	Derek Philips/Derek Phillips				1934	1934-xx-xx					male									20e/21e Eeuw	1934	1934-xx-xx				nonfictie		
M.C.A. Brongers	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=bron016	bron016	M.C.A.	Brongers	M.C.A. Brongers	vertaler			19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair	vertaler	
Paul Goodman	1911	1911-xx-xx	Verenigde Staten	Verenigde Staten	1972	1972-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=good005	good005	Paul	Goodman	Paul Goodman				1911	1911-xx-xx			1972	1972-xx-xx	male			Verenigde Staten	Verenigde Staten					Twintigste Eeuw	1911	1911-xx-xx	1972	1972-xx-xx	en	nonfictie/buitenland		
Sorin Alexandrescu	18 augustus 1937	1937-08-18	Boekarest	Boekarest					https://www.dbnl.org/auteurs/auteur.php?id=alex009	alex009	Sorin	Alexandrescu	Sorin Alexandrescu				8/18/1937	1937-08-18					male	Boekarest	Boekarest	Roemenië	Roemenië					20e/21e Eeuw	18 augustus 1937	1937-08-18				secundair/buitenland		
Adrian Pâunescu	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=paun001	paun001	Adrian	Pâunescu	Adrian Pâunescu				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				buitenland		
Nikita Stänescu	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=stan013	stan013	Nikita	Stänescu	Nikita Stänescu				19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				buitenland		
Leonid Dimov	11 januari 1926	1926-01-11							https://www.dbnl.org/auteurs/auteur.php?id=dimo001	dimo001	Leonid	Dimov	Leonid Dimov	vertaler			1/11/1926	1926-01-11			12/5/1987	1987-12-05	male	Izmail	Izmail	Oekraïne	Oekraïne	Bukarest	Bukarest	Roemenië	Roemenië	Twintigste Eeuw	11 januari 1926	1926-01-11	5 december 1987	1987-12-05	ro	buitenland	vertaler	
Sorin Marculescu	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=marc075	marc075	Sorin	Marculescu	Sorin Marculescu				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				buitenland		
Liesbeth Ziedses	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=zied001	zied001	Liesbeth	Ziedses	Liesbeth Ziedses/Liesbeth Ziedses des Plantes	vertaler			19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie	vertaler	
Irene Langedijk	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=lang190	lang190	Irene	Langedijk	Irene Langedijk	vertaler			19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie	vertaler	
Betty van Veelen	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=veel005	veel005	Betty	van Veelen	Betty van Veelen	vertaler			19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie	vertaler	
Jacques van Alphen	1946	1946-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=alph004	alph004	Jacques	van Alphen	Jacques van Alphen				1946	1946-xx-xx					male									20e/21e Eeuw	1946	1946-xx-xx			nl	secundair		
Ad Kooyman	1943	1943-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=kooy005	kooy005	Adrianus Antonius	Kooyman	Ad Kooyman				1943	1943-xx-xx					male									Twintigste Eeuw	1943	1943-xx-xx				nonfictie		
Peter Hofstede	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=hofs016	hofs016	Peter	Hofstede	Peter Hofstede				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx			nl	nonfictie		
J.Th. Snijders	1910	1910-xx-xx			1997	1997-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=snij015	snij015	Johannes Theodorus	Snijders	J.Th. Snijders				1910	1910-xx-xx			1997	1997-xx-xx	male									Twintigste Eeuw	1910	1910-xx-xx	1997	1997-xx-xx		nonfictie		
