Author	DOB	POB	DOD	POD	Link	identifier
Amado Nervo	27 augustus 1870	Tepic	24 mei 1919	Montevideo	https://www.dbnl.org/auteurs/auteur.php?id=nerv003	nerv003
E.H. de Craene	1880		1956		https://www.dbnl.org/auteurs/auteur.php?id=crae032	crae032
A.G. Christiaens	24 maart 1905		4 juni 1989		https://www.dbnl.org/auteurs/auteur.php?id=chri005	chri005
Jef Claes	1896				https://www.dbnl.org/auteurs/auteur.php?id=clae122	clae122
Rob van Roosbroeck	1898	Antwerpen	14 mei 1988	Oosterhout	https://www.dbnl.org/auteurs/auteur.php?id=roos007	roos007
Karel Verbeke	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=verb250	verb250
Paolo Arcari	1879	Forneaux	1955	Rome	https://www.dbnl.org/auteurs/auteur.php?id=arca003	arca003
H.J. Elias	12 juni 1902	Machelen	2 februari 1973	Ukkel	https://www.dbnl.org/auteurs/auteur.php?id=elia002	elia002
Guido Eeckels	21 oktober 1912		22 juni 1986		https://www.dbnl.org/auteurs/auteur.php?id=eeck017	eeck017
J. van de Velde	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=veld178	veld178
Franz de Backer	22 juni 1891	Aalst	23 juni 1961	Ukkel	https://www.dbnl.org/auteurs/auteur.php?id=back004	back004
Theo Bogaerts	26 april 1893	Sint-Niklaas	21 juni 1971	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=boga023	boga023
Frank van den Wijngaert	29 januari 1901	Kontich	1962		https://www.dbnl.org/auteurs/auteur.php?id=wijn018	wijn018
Paul Verbruggen	10 september 1891	Boom	17 juni 1966	Deurne (Antwerpen?)	https://www.dbnl.org/auteurs/auteur.php?id=verb028	verb028
Cornelis Backer	20 november 1798	Groningen	30 juni 1864	Zwolle	https://www.dbnl.org/auteurs/auteur.php?id=back019	back019
J.C.J. Bierens de Haan	17 november 1867		18 december 1951		https://www.dbnl.org/auteurs/auteur.php?id=bier007	bier007
Georg Moenius	19 oktober 1890	Adelsdorf	2 juli 1953	München	https://www.dbnl.org/auteurs/auteur.php?id=moen010	moen010
Günther Müller	15 december 1890	Augsburg	9 juli 1957	Bonn	https://www.dbnl.org/auteurs/auteur.php?id=mull042	mull042
Friedrich Muckermann, S.J.	1883		1946		https://www.dbnl.org/auteurs/auteur.php?id=muck001	muck001
Willem Gijssels	23 april 1875	Dendermonde	5 februari 1945	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=gijs008	gijs008
Marcel Lobet	28 juni 1907	Braine-le-Comte	19 oktober 1992	Rixensart	https://www.dbnl.org/auteurs/auteur.php?id=lobe003	lobe003
R.B. Lenaerts	1902		1992		https://www.dbnl.org/auteurs/auteur.php?id=lena006	lena006
C. Houwaard	1908?		?		https://www.dbnl.org/auteurs/auteur.php?id=houw011	houw011
F. Collin	18 december 1897	Antwerpen	11 december 1990	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=coll007	coll007
Jozef de Wilde	1906		1993		https://www.dbnl.org/auteurs/auteur.php?id=wild005	wild005
William van den Aker	1901	Antwerpen	1978		https://www.dbnl.org/auteurs/auteur.php?id=aker001	aker001
Andries Morlion	16 mei 1904	Diksmuide	10 december 1987	New York	https://www.dbnl.org/auteurs/auteur.php?id=morl001	morl001
Rudolf Arnheim	15 juli 1904	Berlijn	9 juni 2007	Ann Arbor, Michigan	https://www.dbnl.org/auteurs/auteur.php?id=arnh002	arnh002
Karel Dekeukeleire	27 mei 1905	Elsene	1 juni 1971	Werchter	https://www.dbnl.org/auteurs/auteur.php?id=deke009	deke009
P. Seligmann	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=seli002	seli002
Lode Geysen	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=geys004	geys004
L. Patris	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=patr002	patr002
René Devos	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=devo011	devo011
D. Lunders	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=lund001	lund001
J.G.R. van Dyck	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=dyck003	dyck003
Theodor Absil	1886		1965		https://www.dbnl.org/auteurs/auteur.php?id=absi003	absi003
Staf Weyts	15 april 1909	Mechelen	12 januari 1985	Brugge	https://www.dbnl.org/auteurs/auteur.php?id=weyt001	weyt001
Lanceloot	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=lanc026	lanc026
Stephanus G. Axters	15 oktober 1901	Brugge	2 juli 1977	Lubbeek	https://www.dbnl.org/auteurs/auteur.php?id=axte001	axte001
Thierry de Wael	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=wael031	wael031
Em. de Deyne	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=deyn010	deyn010
Paul Sobry	16 juni 1894	Ieper	25 januari 1954	Leuven	https://www.dbnl.org/auteurs/auteur.php?id=sobr002	sobr002
Albert Westerlinck	17 februari 1914	Geel	30 april 1984		https://www.dbnl.org/auteurs/auteur.php?id=west021	west021
P. Vermeiren	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=verm214	verm214
Paul Lebeau	29 juni 1908	Borgerhout	20 oktober 1982	Borgerhout	https://www.dbnl.org/auteurs/auteur.php?id=lebe001	lebe001
Alfons Walschap	2 april 1903		5 november 1938		https://www.dbnl.org/auteurs/auteur.php?id=wals001	wals001
Fernand Bekaert	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=beka001	beka001
Pomp de Basschaerde	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=bass032	bass032
P. Morlion	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=morl005	morl005
Han. Jonkers	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=jonk046	jonk046
Oskar van der Hallen	28 augustus 1903	Lier	3 augustus 1979	Tenerife	https://www.dbnl.org/auteurs/auteur.php?id=hall007	hall007
Jef de Pillecijn	1883		1956		https://www.dbnl.org/auteurs/auteur.php?id=pill008	pill008
Ludwig Drees	23 november 1910		17 maart 1986		https://www.dbnl.org/auteurs/auteur.php?id=dree009	dree009
Maurits Peeters	1914		1979		https://www.dbnl.org/auteurs/auteur.php?id=peet018	peet018
P.J. Weckx	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=weck005	weck005
Fernand Deschamps	13 juli 1868	Châtelineau	15 maart 1957	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=desc021	desc021
Peter Benoit	17 augustus 1834	Harelbeke	8 maart 1901	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=beno002	beno002
J.F. Vanderheyden	6 maart 1903	Heverlee	9 oktober 1987		https://www.dbnl.org/auteurs/auteur.php?id=vand023	vand023
Hugo Anns	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=anns001	anns001
F. Philips	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=phil072	phil072
René Goris	20 juni 1895		1989		https://www.dbnl.org/auteurs/auteur.php?id=gori001	gori001
Paul Franck	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=fran230	fran230
Walther von der Vogelweide	1170		1230		https://www.dbnl.org/auteurs/auteur.php?id=voge073	voge073
Frans Verachtert	1909		1988		https://www.dbnl.org/auteurs/auteur.php?id=vera002	vera002
L. Delwaide	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=delw002	delw002
Jos. Wils	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=wils030	wils030
Bert Ranke	1914		1997		https://www.dbnl.org/auteurs/auteur.php?id=rank003	rank003
O. Westerlinck	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=west191	west191
Joh. Boe	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=boe_002	boe_002
Taeke de Groot	26 mei 1903	Amsterdam			https://www.dbnl.org/auteurs/auteur.php?id=groo100	groo100
H.H.J. Maas	24 februari 1877	Oostrum	27 januari 1958	Eindhoven	https://www.dbnl.org/auteurs/auteur.php?id=maas003	maas003
D. Zijlstra	3 mei 1889		14 mei 1940	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=zijl004	zijl004
R. van Cauwelaert	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=cauw032	cauw032
Frans Tobback	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=tobb002	tobb002
V.E. van Uytvanck	24 november 1896	Antwerpen	25 maart 1950	Cochem	https://www.dbnl.org/auteurs/auteur.php?id=uytv002	uytv002
Jef Contryn	1902		1991		https://www.dbnl.org/auteurs/auteur.php?id=cont005	cont005
Leo Galle	1897		1991		https://www.dbnl.org/auteurs/auteur.php?id=gall005	gall005
Jan Bertels	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=bert084	bert084
Maurits de Doncker	21 november 1903	Gent	4 juni 1966	Gent	https://www.dbnl.org/auteurs/auteur.php?id=donc004	donc004
Desiderius Erasmus	28 oktober 1466	Rotterdam	12 juli 1536	Bazel	https://www.dbnl.org/auteurs/auteur.php?id=eras001	eras001
Rainer Maria Rilke	4 december 1875	Praag	29 december 1926	Montreux	https://www.dbnl.org/auteurs/auteur.php?id=rilk002	rilk002
J.L. de Belder	18 juni 1912	Lier	7 december 1981	Deurle	https://www.dbnl.org/auteurs/auteur.php?id=beld002	beld002
Thilda Deckers	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=deck040	deck040
Korneel Goossens	1900	Mechelen	1971		https://www.dbnl.org/auteurs/auteur.php?id=goos006	goos006
Jan Kestens	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=kest027	kest027
Robert Maistriaux	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=mais007	mais007
Ludo Van de Wijgaert	1909		12 oktober 1989		https://www.dbnl.org/auteurs/auteur.php?id=wijg001	wijg001
Flora de Lannoy	1895		1958		https://www.dbnl.org/auteurs/auteur.php?id=lann004	lann004
W.A. de Witte	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=witt175	witt175
Frans Broekaert	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=broe254	broe254
A.L Bem	1886	Tsjechië			https://www.dbnl.org/auteurs/auteur.php?id=bem_001	bem_001
Leo Landsman	1910	Gistel			https://www.dbnl.org/auteurs/auteur.php?id=land082	land082
Irma van de Port	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=port047	port047
Isabelle Landuyt	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=land087	land087
Gilbert Degroote	28 januari 1914		18 september 1981	Leuven	https://www.dbnl.org/auteurs/auteur.php?id=degr001	degr001
Marc Staels	1919				https://www.dbnl.org/auteurs/auteur.php?id=stae003	stae003
Emiel Jan Janssen	23 april 1897	Vlimmeren	27 maart 1984	Tienen	https://www.dbnl.org/auteurs/auteur.php?id=jans036	jans036
Max Lamberty	31 december 1893	Sint-Gillis	13 augustus 1975	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=lamb028	lamb028
Willy Vaerewijck	6 februari 1914	Deurne	9 oktober 1982	Deurne	https://www.dbnl.org/auteurs/auteur.php?id=vaer001	vaer001
Fred. Walecijn	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=wale011	wale011
Paul de Ryck	11 juni 1913	Erembodegem (Terjoden)	23 september 1956	Sint-Amandsberg	https://www.dbnl.org/auteurs/auteur.php?id=ryck001	ryck001
Marcel Grypdonck	1909		1996		https://www.dbnl.org/auteurs/auteur.php?id=gryp002	gryp002
Novalis	2 mei 1772	Wiederstedt	25 maart 1801	Weissenfels	https://www.dbnl.org/auteurs/auteur.php?id=nova005	nova005
Ludo Poplemont	1905		1984		https://www.dbnl.org/auteurs/auteur.php?id=popl001	popl001
Luc Indestege	5 februari 1901	Zonhoven	11 juli 1974	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=inde002	inde002
Luc van Brabant	10 oktober 1909	Lokeren	12 mei 1977	Veurne	https://www.dbnl.org/auteurs/auteur.php?id=brab004	brab004
Liesbeth van Thillo	1914	Edegem	1988		https://www.dbnl.org/auteurs/auteur.php?id=thil001	thil001
Leys Achiel	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=achi002	achi002
Karel Capek	1890				https://www.dbnl.org/auteurs/auteur.php?id=cape007	cape007
Max Kijzer	14 januari 1893	Amsterdam	31 maart 1944	Midden-Europa	https://www.dbnl.org/auteurs/auteur.php?id=kijz001	kijz001
Jean-Charles Snoy et d'Oppuers	2 juli 1907	Ophain-Bois-Seigneur-Isaac	17 mei 1991	Eigenbrakel	https://www.dbnl.org/auteurs/auteur.php?id=snoy003	snoy003
J. Keunen	18 oktober 1898	Hamont	6 mei 1983	Hamont	https://www.dbnl.org/auteurs/auteur.php?id=keun009	keun009
P. Verberne	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=verb248	verb248
Maurits Wille	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=will250	will250
Vital Celen	9 februari 1887	Hulshout	8 september 1956	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=cele002	cele002
A. Plas	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=plas018	plas018
Robert Storm Petersen	19 september 1882		6 maart 1949	Frederiksberg	https://www.dbnl.org/auteurs/auteur.php?id=stor062	stor062
Alfons van Beylen	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=beyl007	beyl007
Stefaan Leonard	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=leon034	leon034
Marie Schous	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=scho353	scho353
H. van Lennep	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=lenn039	lenn039
Marcel Tobie	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=tobi001	tobi001
Luc van Hoeck	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=hoec026	hoec026
Basiel de Craene	15 april 1880	Waarschoot	10 mei 1956	Merendree	https://www.dbnl.org/auteurs/auteur.php?id=crae003	crae003
Jan Melis	4 april 1902	Beringen	21 juni 1974	Borgerhout	https://www.dbnl.org/auteurs/auteur.php?id=meli004	meli004
P.Em. Valvekens	1897		1944	Ukkel	https://www.dbnl.org/auteurs/auteur.php?id=valv002	valv002
Camiel van Deyck	1901		1963		https://www.dbnl.org/auteurs/auteur.php?id=deyc005	deyc005
Hendrik Prijs	18 maart 1898	Sint-Truiden	18 juni 1984	Alken	https://www.dbnl.org/auteurs/auteur.php?id=prij002	prij002
Gerard Michiels	1908		1992		https://www.dbnl.org/auteurs/auteur.php?id=mich013	mich013
Elmar Borg	1908		2002		https://www.dbnl.org/auteurs/auteur.php?id=borg001	borg001
Jan D'Haese	17 maart 1922	Aalst	30 januari 2005		https://www.dbnl.org/auteurs/auteur.php?id=dhae003	dhae003
H. Brugge	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=brug099	brug099
Robert Guiette	9 juli 1895	Antwerpen	8 november 1976	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=guie001	guie001
Jo de Meester	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=mees058	mees058
Xavier Pruszynski	1907		1950		https://www.dbnl.org/auteurs/auteur.php?id=prus004	prus004
Lambert Swerts	1907		1980		https://www.dbnl.org/auteurs/auteur.php?id=swer003	swer003
Waclaw Husarski	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=husa001	husa001
Tadeusz Breza	1905		1970		https://www.dbnl.org/auteurs/auteur.php?id=brez004	brez004
Waclaw Sieroszewski	1858		1945		https://www.dbnl.org/auteurs/auteur.php?id=sier020	sier020
Kazimierz Tetmajer-Przerwa	1865				https://www.dbnl.org/auteurs/auteur.php?id=tetm001	tetm001
Venceslas Berent	1873		1940		https://www.dbnl.org/auteurs/auteur.php?id=bere042	bere042
Emil Zegadlowicz	1888				https://www.dbnl.org/auteurs/auteur.php?id=zega001	zega001
Tadeusz Boy-Zelenski	1874		1941		https://www.dbnl.org/auteurs/auteur.php?id=boyz001	boyz001
Leopold Staff	1878				https://www.dbnl.org/auteurs/auteur.php?id=staf008	staf008
Juljusz Kaden-Bandrowski	1885		1944		https://www.dbnl.org/auteurs/auteur.php?id=kade002	kade002
Zofja Nalkowska	1884		1954		https://www.dbnl.org/auteurs/auteur.php?id=nalk001	nalk001
I.K. Illakowicz	6 augustus 1892	Vilnius	16 februari 1983	Poznan	https://www.dbnl.org/auteurs/auteur.php?id=illa001	illa001
Ferdynand Goetel	1890				https://www.dbnl.org/auteurs/auteur.php?id=goet047	goet047
Zofja Kossak-Szczucka	10 augustus 1889	Kosmin	9 april 1968		https://www.dbnl.org/auteurs/auteur.php?id=koss013	koss013
Julian Tuwim	13 september 1894	Lodz			https://www.dbnl.org/auteurs/auteur.php?id=tuwi001	tuwi001
Jan Parandowski	11 mei 1895	Lviv	26 september 1978		https://www.dbnl.org/auteurs/auteur.php?id=para018	para018
Antoni Slonimski	15 november 1895	Warschau	4 juli 1976	Warschau	https://www.dbnl.org/auteurs/auteur.php?id=slon001	slon001
Jaroslaw Iwaszkiewicz	20 februari 1894	Oblast Vinnytsja			https://www.dbnl.org/auteurs/auteur.php?id=iwas001	iwas001
Maria Jasnorzewska	24 november 1891	Sopot	9 juli 1945	Manchester	https://www.dbnl.org/auteurs/auteur.php?id=jasn001	jasn001
Herminia Naglerowa	28 oktober 1890	Brody	9 oktober 1957		https://www.dbnl.org/auteurs/auteur.php?id=nagl002	nagl002
Maria Dabrowska	6 oktober 1889	Russów	19 mei 1965	Warschau	https://www.dbnl.org/auteurs/auteur.php?id=dabr003	dabr003
Jozef Wittlin	17 augustus 1896	Dmytrów	28 februari 1976		https://www.dbnl.org/auteurs/auteur.php?id=witt177	witt177
Jan Lechon	1899				https://www.dbnl.org/auteurs/auteur.php?id=lech007	lech007
Marja Kuncewiczowna	30 oktober 1895	Samara			https://www.dbnl.org/auteurs/auteur.php?id=kunc001	kunc001
Eva Szelburg Zarembina	1899		1986		https://www.dbnl.org/auteurs/auteur.php?id=szel001	szel001
Michal Choromanski	1904		1972		https://www.dbnl.org/auteurs/auteur.php?id=chor006	chor006
Kazimierz Wierzynski	27 augustus 1894	Drohobytsj	13 februari 1969	Londen	https://www.dbnl.org/auteurs/auteur.php?id=wier084	wier084
Jozef Czechowicz	1903		1939		https://www.dbnl.org/auteurs/auteur.php?id=czec002	czec002
Swiatopelk Karpinski	1909		1940		https://www.dbnl.org/auteurs/auteur.php?id=karp002	karp002
Jozef Lobodowski	1909		1988		https://www.dbnl.org/auteurs/auteur.php?id=lobo003	lobo003
St. Pietak					https://www.dbnl.org/auteurs/auteur.php?id=piet135	piet135
Amedée Arents	1900		1973		https://www.dbnl.org/auteurs/auteur.php?id=aren034	aren034
P. Keymeulen					https://www.dbnl.org/auteurs/auteur.php?id=keym010	keym010
Saint-Rémy	22 december 1913		21 augustus 1979		https://www.dbnl.org/auteurs/auteur.php?id=sain005	sain005
Maurits Bilcke	1913		1993		https://www.dbnl.org/auteurs/auteur.php?id=bilc001	bilc001
Era Lobet					https://www.dbnl.org/auteurs/auteur.php?id=lobe001	lobe001
Lode Quasters	1911	Lanaken	17 april 1983	Sint-Niklaas	https://www.dbnl.org/auteurs/auteur.php?id=quas001	quas001
Jos de Haes	22 april 1920	Leuven	1 maart 1974	Brussel (Jette)	https://www.dbnl.org/auteurs/auteur.php?id=haes003	haes003
Elisabeth Dhanens	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=dhan002	dhan002
Oscar Dambre	12 november 1896	Vlamertinge	23 juni 1972	Gent	https://www.dbnl.org/auteurs/auteur.php?id=damb001	damb001
George Meir	1900		1944		https://www.dbnl.org/auteurs/auteur.php?id=meir001	meir001
August Corbet	1907		1964		https://www.dbnl.org/auteurs/auteur.php?id=corb003	corb003
E. van Uytbergen	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=uytb001	uytb001
P. van Keymolen	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=keym009	keym009
Ventura García Caldéron	1886	Parijs	1959		https://www.dbnl.org/auteurs/auteur.php?id=garc011	garc011
Franz Zonneberg	1912				https://www.dbnl.org/auteurs/auteur.php?id=zonn001	zonn001
Pieter Steur	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=steu025	steu025
Joz. Geleyn	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=gele012	gele012
Michel Demedts	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=deme031	deme031
Filippo Donini	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=doni020	doni020
Jan L. Broeckx	17 oktober 1920	Antwerpen	19 augustus 2006	Sint-Martens-Latem	https://www.dbnl.org/auteurs/auteur.php?id=broe017	broe017
Paul Walkiers	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=walk005	walk005
Piet Zonderzorg	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=zond014	zond014
Maria Huybrechts	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=huyb027	huyb027
José de Ceulaer	1921		1994		https://www.dbnl.org/auteurs/auteur.php?id=ceul001	ceul001
Aster Berkhof	18 juni 1920	Rijkevorsel			https://www.dbnl.org/auteurs/auteur.php?id=berk011	berk011
A. Kriekemans	1906		1986		https://www.dbnl.org/auteurs/auteur.php?id=krie020	krie020
August Vanistendael	9 januari 1917	Birtley	8 september 2003	Leuven	https://www.dbnl.org/auteurs/auteur.php?id=vani001	vani001
Louise Labé	ca. 1520	Lyon	25 april 1566	Parcieux	https://www.dbnl.org/auteurs/auteur.php?id=labe001	labe001
Lode Cantens	1911	Antwerpen	1955		https://www.dbnl.org/auteurs/auteur.php?id=cant002	cant002
Nic van Beeck	1923	Turnhout	1970		https://www.dbnl.org/auteurs/auteur.php?id=beec001	beec001
J.L. Pauwels	1899		1989		https://www.dbnl.org/auteurs/auteur.php?id=pauw014	pauw014
Lode Roose	16 april 1920	Mechelen	12 januari 1991		https://www.dbnl.org/auteurs/auteur.php?id=roos011	roos011
Honoré van Waeyenbergh	25 november 1891	Brussel	19 juli 1971	Korbeek-Lo	https://www.dbnl.org/auteurs/auteur.php?id=waey003	waey003
Jan Valvekens	24 december 1894	Rillaar	25 augustus 1951	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=valv001	valv001
Frank Meyland	26 augustus 1920	Gent	31 mei 1993	Gent	https://www.dbnl.org/auteurs/auteur.php?id=meyl001	meyl001
Abel J. Coetzee	27 mei 1906	Grootfontein	1975		https://www.dbnl.org/auteurs/auteur.php?id=coet003	coet003
Gabriela Mistral	7 april 1889	Vicuña	10 januari 1957		https://www.dbnl.org/auteurs/auteur.php?id=mist006	mist006
René J. Seghers	27 februari 1904	Hasselt	3 maart 1974	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=segh006	segh006
August Vercauteren	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=verc028	verc028
Joris Dedier	1920				https://www.dbnl.org/auteurs/auteur.php?id=dedi001	dedi001
Firmin van Hecke	21 november 1884	Ertvelde	29 juli 1961	Gent	https://www.dbnl.org/auteurs/auteur.php?id=heck002	heck002
Albert de Longie	10 juli 1916	Kruishoutem	29 oktober 1979	Ooike	https://www.dbnl.org/auteurs/auteur.php?id=long004	long004
Adriaan Magerman	28 december 1922	Zottegem	12 oktober 2000	Deinze	https://www.dbnl.org/auteurs/auteur.php?id=mage001	mage001
John L. Brown	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=brow024	brow024
B. Boeyckens	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=boey018	boey018
R.F. Lissens	1912	Leuven			https://www.dbnl.org/auteurs/auteur.php?id=liss003	liss003
Emiel van Hemeldonck	29 november 1897	Zwijndrecht	13 januari 1981	Arendonk	https://www.dbnl.org/auteurs/auteur.php?id=heme003	heme003
Remi van de Moortel	18 augustus 1912	Petegem-Deinze	12 oktober 1993		https://www.dbnl.org/auteurs/auteur.php?id=moor016	moor016
Ant. Gobert	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=gobe011	gobe011
Marcel Brauns	2 oktober 1913	Hasselt	2 september 1995	Gent	https://www.dbnl.org/auteurs/auteur.php?id=brau006	brau006
Gerard Verbeke	15 juli 1910	Waregem	27 maart 2001	Leuven	https://www.dbnl.org/auteurs/auteur.php?id=verb071	verb071
H. Draye	1911		1983		https://www.dbnl.org/auteurs/auteur.php?id=dray001	dray001
W.J. Elsman	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=elsm003	elsm003
Reninca	13 september 1923	Puurs			https://www.dbnl.org/auteurs/auteur.php?id=reni006	reni006
Marius F. Valkhoff	7 januari 1905	Zwolle	1980		https://www.dbnl.org/auteurs/auteur.php?id=valk013	valk013
C.M. van den Heever	27 februari 1902	Johannesburg	7 juli 1957	Johannesburg	https://www.dbnl.org/auteurs/auteur.php?id=heev001	heev001
Paul Van Keymeulen	3 februari 1920	Erpe-Mere	16 oktober 2006		https://www.dbnl.org/auteurs/auteur.php?id=keym003	keym003
Lode Campforts	1914		1980		https://www.dbnl.org/auteurs/auteur.php?id=camp016	camp016
N. Wildiers	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=wild087	wild087
Louis Janssens	23 juli 1908		19 december 2001		https://www.dbnl.org/auteurs/auteur.php?id=jans394	jans394
Pierre Berteloot	1912	Sint-Winoksbergen			https://www.dbnl.org/auteurs/auteur.php?id=bert047	bert047
Willem van den Broeck	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=broe007	broe007
Willy Peremans	28 juli 1907	Bornem	14 augustus 1986		https://www.dbnl.org/auteurs/auteur.php?id=pere006	pere006
Jan van den Broeck	1925				https://www.dbnl.org/auteurs/auteur.php?id=broe067	broe067
W. Vanbeselaere	4 juni 1908	Zevekote	3 mei 1988	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=vanb003	vanb003
Maurice Schuyten	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=schu306	schu306
Émile O.J.J.G. Lousse	1905		1986		https://www.dbnl.org/auteurs/auteur.php?id=lous002	lous002
R.K.J.E. Antonissen	1919		1972		https://www.dbnl.org/auteurs/auteur.php?id=anto004	anto004
Karel Vertommen	25 januari 1907	Kontich	27 juli 1991	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=vert003	vert003
Fr. Nooyens	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=nooy010	nooy010
Joos Florquin	24 maart 1916				https://www.dbnl.org/auteurs/auteur.php?id=flor007	flor007
J.A. van Houtte	10 maart 1913				https://www.dbnl.org/auteurs/auteur.php?id=hout114	hout114
P.J. Vandenhoute	1913				https://www.dbnl.org/auteurs/auteur.php?id=vand275	vand275
Julia Tulkens	6 oktober 1902	Tienen	1995		https://www.dbnl.org/auteurs/auteur.php?id=tulk002	tulk002
Betsie Hollants	1905		1996		https://www.dbnl.org/auteurs/auteur.php?id=holl103	holl103
Frans van Boogaerdt	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=boog039	boog039
Rosa Temmerman	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=temm021	temm021
Mona van Garsse	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=gars004	gars004
Pieter-Emmanuel Oyen	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=oyen022	oyen022
Paul de Smaele	1906		1965		https://www.dbnl.org/auteurs/auteur.php?id=smae001	smae001
G.M.J. Duyfhuizen	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=duyf002	duyf002
Maxime Deswarte	1907		1989		https://www.dbnl.org/auteurs/auteur.php?id=desw001	desw001
