Author	DOB	POB	DOD	POD	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthDate	deathPlace	deathDate	gender
Breyten Breytenbach	16 september 1939	Bonnievale			https://www.dbnl.org/auteurs/auteur.php?id=brey004	brey004	Breyten	Breytenbach	Breyten Breytenbach			9/16/1939			male
Adriaan van Dis	16 december 1946	Bergen			https://www.dbnl.org/auteurs/auteur.php?id=dis_001	dis_001	Adriaan	van Dis	Adriaan van Dis	redacteur/journalist	Bergen	12/16/1946			male
Charles Vergeer	1947				https://www.dbnl.org/auteurs/auteur.php?id=verg008	verg008	Charles	Vergeer	Charles Vergeer	vertaler		1947			male
B. Bloemsma	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=bloe035	bloe035	B.	Bloemsma	B. Bloemsma			19xx			male
Hans van den Bergh	3 december 1932	Amsterdam	21 oktober 2011	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=berg042	berg042	Hans	van den Bergh	Hans van den Bergh/Paul Abbey/ten Braven	journalist/leraar/letterkundige (NIET-neerl.)/redacteur/hoogleraar/docent	Amsterdam	12/3/1932	Amsterdam	10/21/2011	male
Paul Kapteyn	1942	Schagen			https://www.dbnl.org/auteurs/auteur.php?id=kapt004	kapt004	Paulus Johannes Hero	Kapteyn	Paul Kapteyn		Schagen	1942			male
F.B. Hotz	1 februari 1922	Leiden	5 december 2000	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=hotz001	hotz001	Frits Bernard	Hotz	F.B. Hotz	jongleur/musicus/minstreel	Leiden	2/1/1922	Leiden	12/5/2000	male
Rien T. Segers	22 oktober 1947	Helmond			https://www.dbnl.org/auteurs/auteur.php?id=sege009	sege009	Marinus Theodorus Maria	Segers	Rien T. Segers		Helmond	10/22/1947			male
Pier Boorsma	15 maart 1944	Sneek			https://www.dbnl.org/auteurs/auteur.php?id=boor001	boor001	Pier	Boorsma	Elize Zwart/Pier Boorsma		Sneek	3/15/1944			male
Jack ter Heide	1923		1988		https://www.dbnl.org/auteurs/auteur.php?id=heid032	heid032	Jack	ter Heide	Jack ter Heide	advocaat/jurist		1923		1988	male
Grahame Lock	1946				https://www.dbnl.org/auteurs/auteur.php?id=lock010	lock010	Grahame	Lock	Grahame Lock			1946			male
Ton Korver	1946				https://www.dbnl.org/auteurs/auteur.php?id=korv002	korv002	Anthonie	Korver	Ton Korver			1946			male
M. Fennema	21 mei 1946	Leeuwarden			https://www.dbnl.org/auteurs/auteur.php?id=fenn009	fenn009	Meindert	Fennema	M. Fennema	leraar/docent/diplomaat/hoogleraar	Leeuwarden	5/21/1946			male
Thom Holterman	1942				https://www.dbnl.org/auteurs/auteur.php?id=holt074	holt074	Thomas	Holterman	Thom Holterman			1942			male
Margriet Poort	1946				https://www.dbnl.org/auteurs/auteur.php?id=poor004	poor004	Margriet	Poort	Margriet Poort			1946			female
Elmer Schönberger	1950				https://www.dbnl.org/auteurs/auteur.php?id=scho141	scho141	Elmer	Schönberger	Elmer Schönberger	jongleur/musicus/minstreel		1950			male
Wiel Kusters	1 juni 1947	Kerkrade			https://www.dbnl.org/auteurs/auteur.php?id=kust004	kust004	Wiel	Kusters	K.W. Tuisler/Wiel Kusters	journalist/leraar/hoogleraar/redacteur/docent	Kerkrade	6/1/1947			male
Jules A. Deelder	24 november 1944	Rotterdam			https://www.dbnl.org/auteurs/auteur.php?id=deel002	deel002	Justus Anton	Deelder	Jules A. Deelder		Rotterdam	11/24/1944	Rotterdam	12/19/2019	male
Mieke Westra	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=west183	west183	Mieke	Westra	Mieke Westra	vertaler		19xx			female
Aline Glastra van Loon	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=glas016	glas016	Aline	Glastra van Loon	Aline Glastra van Loon	vertaler		19xx			female
Christine Brinkgreve	8 augustus 1949	Amsterdam			https://www.dbnl.org/auteurs/auteur.php?id=brin033	brin033	Christine Dorothea Antoinette	Brinkgreve	Christine Brinkgreve	leraar/docent/hoogleraar	Amsterdam	8/8/1949			female
Alex Korzec	1947	Lodz			https://www.dbnl.org/auteurs/auteur.php?id=korz002	korz002	Alex	Korzec	Alex Korzec			1947			male
J.J. Witkam	1945				https://www.dbnl.org/auteurs/auteur.php?id=witk006	witk006	Januarius Justus	Witkam	J.J. Witkam			1945			male
Arie Gelderblom	16 juni 1945	Nieuw-Lekkerland	22 december 1991	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=geld007	geld007	Arie	Gelderblom	Arie Gelderblom	boekhandelaar	Nieuw-Lekkerland	6/16/1945	Rotterdam	12/22/1991	male
Maria van der Moer	1947				https://www.dbnl.org/auteurs/auteur.php?id=moer002	moer002	Maria	van der Moer	Maria van der Moer			1947			female
Peter Nijmeijer	26 april 1947	Amsterdam	9 september 2016		https://www.dbnl.org/auteurs/auteur.php?id=nijm001	nijm001	Peter	Nijmeijer	Peter Nijmeijer	vertaler	Amsterdam	4/26/1947		9/9/2016	male
Paul Celan	23 november 1920	Czernowitz	april 1970	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=cela002	cela002	Paul	Celan	Paul Antschel/Paul Celan			11/23/1920		1970-04-xx	male
J.W. Niemeijer	14 mei 1870	Sneek	25 juli 1937	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=niem001	niem001	Jan Wolter	Niemeijer	J.W. Niemeijer	staatsman/bestuurder/politicus	Sneek	1870-05-14	Utrecht	7/25/1937	male
Jaime Mendizábal	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=mend016	mend016	Jaime	Mendizábal	Jaime Mendizábal			19xx			male
Frans de Rover	1946	Rotterdam	26 november 2018	Santa Cruz de Tenerife, Tenerife	https://www.dbnl.org/auteurs/auteur.php?id=rove001	rove001	Frans Carel	de Rover	Frans de Rover	leraar/docent/hoogleraar	Rotterdam	1946		11/26/2018	male
Magda van Emde Boas	17 oktober 1917	Praag	3 maart 2011	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=emde008	emde008	Magda	van Emde Boas	Magda van Emde Boas	redacteur/journalist		10/17/1917	Amsterdam	3/3/2011	female
Stefan Morawski	20 oktober 1921		2 december 2004		https://www.dbnl.org/auteurs/auteur.php?id=mora010	mora010	Stefan Tadeusz	Morawski	Stefan Morawski	filosoof/leraar/kunsthandelaar/hoogleraar/kunsthistoricus/docent		10/20/1921		12/2/2004	male
H.L.C. Jaffé	1915		1984		https://www.dbnl.org/auteurs/auteur.php?id=jaff001	jaff001	Hans Ludwig Cohn	Jaffé	H.L.C. Jaffé	leraar/kunsthandelaar/hoogleraar/kunsthistoricus/docent		1915		1984	male
Maartje Draak	25 maart 1907				https://www.dbnl.org/auteurs/auteur.php?id=draa003	draa003	Amalia Maartje Elisabeth	Draak	Maartje Draak	leraar/docent/hoogleraar	Venlo	3/25/1907	Amsterdam	11/16/1995	female
Joep à Campo	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=camp099	camp099	Joep	à Campo	Joep à Campo			19xx			male
Sjoerd Kuyper	6 maart 1952	Amsterdam			https://www.dbnl.org/auteurs/auteur.php?id=kuyp007	kuyp007	Sjoerd	Kuyper	Sjoerd Kuyper		Amsterdam	3/6/1952			male
Hans van Lier	1938				https://www.dbnl.org/auteurs/auteur.php?id=lier033	lier033	Hans	van Lier	Hans van Lier			1938			male
F.G. Droste	4 juli 1928	Arnhem			https://www.dbnl.org/auteurs/auteur.php?id=dros007	dros007	Frederik Gerrit	Droste	F.G. Droste/Flip. G. Droste/Frits van Noord	leraar/docent/hoogleraar	Arnhem	7/4/1928		6/13/2020	male
Pieter de Meijer	1932				https://www.dbnl.org/auteurs/auteur.php?id=meij049	meij049	Petrus Wilhelmus Maria	de Meijer	Pieter de Meijer			1932			male
Alex van Gelder	1937				https://www.dbnl.org/auteurs/auteur.php?id=geld001	geld001	Alex	van Gelder	Alex van Gelder			1937			male
Peter van Zonneveld	1948	Leiden			https://www.dbnl.org/auteurs/auteur.php?id=zonn002	zonn002	Petrus Abraham Willibrordus	van Zonneveld	Peter van Zonneveld		Leiden	1948			male
Fernando Schellen	1934				https://www.dbnl.org/auteurs/auteur.php?id=sche244	sche244	Fernando	Schellen	Fernando Schellen			1934			male
A.K. Koekkoek	15 januari 1945	Willemstad	18 april 2005	Tilburg	https://www.dbnl.org/auteurs/auteur.php?id=koek009	koek009	Adriaan Kornelis (Alis)	Koekkoek	A.K. Koekkoek/Alis Koekkoek	jurist/staatsman/bestuurder/politicus/advocaat	Willemstad	1/15/1945	Tilburg	4/18/2005	male
C.J.M. Schuyt	1943	Leidschendam			https://www.dbnl.org/auteurs/auteur.php?id=schu069	schu069	Cornelis Johannes Maria (Kees)	Schuyt	C.J.M. Schuyt/Kees Schuyt		Leidschendam	1943			male
Cees Cruson	1944				https://www.dbnl.org/auteurs/auteur.php?id=crus002	crus002	Cees I.	Cruson	Cees Cruson			1944			male
Ton Zwaan	1946				https://www.dbnl.org/auteurs/auteur.php?id=zwaa025	zwaa025	Anthonie Cornelis Laurens	Zwaan	Ton Zwaan			1946			male
Philip Ramp	1940	Holland, Michigan			https://www.dbnl.org/auteurs/auteur.php?id=ramp007	ramp007	Philip	Ramp	Philip Ramp			1940			male
John Berger	5 november 1926		2 januari 2017	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=berg310	berg310	John Peter	Berger	John Berger	schilder/officier/militair		11/5/1926		1/2/2017	male
Max Arian	1940				https://www.dbnl.org/auteurs/auteur.php?id=aria002	aria002	Max	Arian	Max Arian			1940			male
Loek Esmeijer	1932				https://www.dbnl.org/auteurs/auteur.php?id=esme001	esme001	Loek	Esmeijer	Loek Esmeijer	vertaler		1932			male
Arthur Mitzman	1931	Newark, New Jersey			https://www.dbnl.org/auteurs/auteur.php?id=mitz004	mitz004	Arthur	Mitzman	Arthur Mitzman	archeoloog/historicus		1931			male
B.J.S. Hoetjes	1945				https://www.dbnl.org/auteurs/auteur.php?id=hoet015	hoet015	Bernardus Johanna Simon	Hoetjes	B.J.S. Hoetjes/Ben Hoetjes			1945			male
Petrus Adrianus Johannes Bentvelzen	1938				https://www.dbnl.org/auteurs/auteur.php?id=bent067	bent067	Petrus Adrianus Johannes	Bentvelzen	Petrus Adrianus Johannes Bentvelzen	natuurwetenschapper		1938			male
J.J. van der Werff ten Bosch	23 april 1927	Rotterdam	31 mei 2012	Leiderdorp	https://www.dbnl.org/auteurs/auteur.php?id=werf018	werf018	Jacobus Johannes	van der Werff ten Bosch	J.J. van der Werff ten Bosch	natuurwetenschapper	Rotterdam	4/23/1927	Leiderdorp	5/31/2012	male
M.B. ter Borg	2 augustus 1946	Groningen			https://www.dbnl.org/auteurs/auteur.php?id=borg033	borg033	Meerten Berend	ter Borg	M.B. ter Borg	leraar/docent/hoogleraar	Groningen	8/2/1946			male
Louis Boon	1948				https://www.dbnl.org/auteurs/auteur.php?id=boon075	boon075	Aloysius Johannes	Boon	A.J. Boon/Louis Boon	leraar/docent/hoogleraar		1948			male
August Heyting	1879		2 november 1949		https://www.dbnl.org/auteurs/auteur.php?id=heyt001	heyt001	August Theodoor Anton	Heyting	August Heyting/Gustaaf van Elring	redacteur/journalist		1879		11/2/1949	male
Hans Magnus Enzensberger	11 november 1929	Kaufbeuren			https://www.dbnl.org/auteurs/auteur.php?id=enze001	enze001	Hans Magnus	Enzensberger	Andreas Thalmayr/Hans Magnus Enzensberger	uitgever/boekdrukker/vertaler		11/11/1929			male
Leo Damen	1945				https://www.dbnl.org/auteurs/auteur.php?id=dame018	dame018	Leonardus Johannes Antonius	Damen	Leo Damen	leraar/jurist/hoogleraar/docent/advocaat	Middelburg	1945			male
R.Th.R. Wentges	1933				https://www.dbnl.org/auteurs/auteur.php?id=went009	went009	Robert Theodoor Richard	Wentges	R.Th.R. Wentges			1933			male
Ampie Coetzee	1939				https://www.dbnl.org/auteurs/auteur.php?id=coet013	coet013	Ampie	Coetzee	A.J. Coetzee/Ampie Coetzee	journalist/leraar/redacteur/hoogleraar/docent		1939			male
Hans Ester	27 juli 1946				https://www.dbnl.org/auteurs/auteur.php?id=este001	este001	Johannes	Ester	Hans Ester	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	Utrecht	7/27/1946			male
Gérard van den Eerenbeemt	28 juli 1936	Venlo	15 januari 2011		https://www.dbnl.org/auteurs/auteur.php?id=eere002	eere002	Gerardus Leonardus Godefridus Maria	van den Eerenbeemt	Gérard van den Eerenbeemt	illustrator/schilder/tekenaar/beeldend kunstenaar	Venlo	7/28/1936		1/15/2011	male
Leo Fretz	1936		2003		https://www.dbnl.org/auteurs/auteur.php?id=fret004	fret004	Leo Christophorus	Fretz	Leo Fretz	filosoof		1936		2003	male
W. van Dort	1919				https://www.dbnl.org/auteurs/auteur.php?id=dort022	dort022	W.	van Dort	W. van Dort			1919			male
Marcel Baudet	1951				https://www.dbnl.org/auteurs/auteur.php?id=baud028	baud028	Marcel	Baudet	Marcel Baudet	musicus/leraar/archeoloog/hoogleraar/jongleur/historicus/minstreel/docent		1951			male
Godert van Colmjon	17 oktober 1943	Amersfoort			https://www.dbnl.org/auteurs/auteur.php?id=colm006	colm006	Godert	van Colmjon	Arthur Kahn/Godert van Colmjon	musicus/journalist/redacteur/jongleur/minstreel	Amersfoort	10/17/1943	Heerlen	1/11/2009	male
Walter van der Star	1954				https://www.dbnl.org/auteurs/auteur.php?id=star016	star016	Walter	van der Star	Walter van der Star			1954			male
Dick Pels	1948				https://www.dbnl.org/auteurs/auteur.php?id=pels015	pels015	Dick Lodewijk	Pels	Dick Pels			1948			male
R.H.J. Egeter van Kuyk	19 juni 1942	Jakarta			https://www.dbnl.org/auteurs/auteur.php?id=eget001	eget001	Robert H.J.	Egeter van Kuyk	R.H.J. Egeter van Kuyk/Robert Egeter van Kuyk	vertaler		6/19/1942			male
Lloyd Haft	9 november 1946	Wisconsin			https://www.dbnl.org/auteurs/auteur.php?id=haft001	haft001	Lloyd	Haft	Lloyd Haft			11/9/1946			male
H.J. Smeding	1899		1979		https://www.dbnl.org/auteurs/auteur.php?id=smed003	smed003	H.J.	Smeding	H.J. Smeding			1899		1979	male
Albert Dijkstra	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=dijk018	dijk018	Albert	Dijkstra	Albert Dijkstra			19xx			male
B.F. Galjart	1933				https://www.dbnl.org/auteurs/auteur.php?id=galj001	galj001	Benno Franciscus	Galjart	B.F. Galjart	leraar/docent/hoogleraar		1933			male
A.Th. Derksen	1946				https://www.dbnl.org/auteurs/auteur.php?id=derk014	derk014	A.Th.	Derksen	A.Th. Derksen			1946			male
Patrick Conrad	16 juli 1945	Antwerpen			https://www.dbnl.org/auteurs/auteur.php?id=conr001	conr001	Patrick Jean Armand	Conrad	Patrick Conrad		Antwerpen	7/16/1945			male
Marcel van Maele	10 april 1931	Brugge			https://www.dbnl.org/auteurs/auteur.php?id=mael004	mael004	Marcel	van Maele	Marcel van Maele		Brugge	4/10/1931		2009	male
Hugo Raes	26 mei 1929	Antwerpen			https://www.dbnl.org/auteurs/auteur.php?id=raes001	raes001	Hugo	Raes	Hugo Raes		Antwerpen	5/26/1929		9/23/2013	male
Toon Tellegen	18 november 1941	Brielle			https://www.dbnl.org/auteurs/auteur.php?id=tell003	tell003	Toon	Tellegen	Toon Tellegen	apotheker/medicus	Brielle	11/18/1941			male
E.J. Dommering	11 april 1943	Amsterdam			https://www.dbnl.org/auteurs/auteur.php?id=domm010	domm010	Egbert J.	Dommering	E.J. Dommering	leraar/jurist/hoogleraar/docent/advocaat	Amsterdam	4/11/1943			male
Leendert Witvliet	25 juni 1936	Werkendam			https://www.dbnl.org/auteurs/auteur.php?id=witv002	witv002	Leendert	Witvliet	Leendert Witvliet	onderwijzer (basisschool)	Werkendam	6/25/1936			male
Th.J. de Jong	1928				https://www.dbnl.org/auteurs/auteur.php?id=jong233	jong233	Th.J.	de Jong	Th.J. de Jong	filosoof/natuurwetenschapper		3/17/1928			male
Joyce van Lankeren	1946				https://www.dbnl.org/auteurs/auteur.php?id=lank014	lank014	Joyce	van Lankeren	Joyce van Lankeren			1946			female
J.N. Swallow	1931				https://www.dbnl.org/auteurs/auteur.php?id=swal010	swal010	J.N.	Swallow	J.N. Swallow			1931			male
Margreet Hirs	1941				https://www.dbnl.org/auteurs/auteur.php?id=hirs001	hirs001	Margreet	Hirs	Boccarossa/De Dichteres Zonder Naam/Margreet Hirs			1941			female
Erika Dedinszky	1942	Hongarije			https://www.dbnl.org/auteurs/auteur.php?id=dedi002	dedi002	Erika	Dedinszky	Erika Dedinszky			1942			female
W. van Drimmelen	20 juli 1944	Delft			https://www.dbnl.org/auteurs/auteur.php?id=drim001	drim001	Wim	van Drimmelen	W. van Drimmelen	leraar/docent/ambtenaar/hoogleraar	Delft	7/20/1944			male
Botto van den Bergh	23 maart 1929	Den Haag	8 februari 2013	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=berg313	berg313	Botto	van den Bergh	Botto van den Bergh	jongleur/letterkundige (NIET-neerl.)/musicus/minstreel	Den Haag	3/23/1929	Den Haag	2/8/2013	male
Boudewijn Büch	14 december 1948	Den Haag	23 november 2002	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=buch001	buch001	Boudewijn	Büch	Boudewijn Büch		Den Haag	12/14/1948	Amsterdam	11/23/2002	male
Carlo Ginzburg	1939	Turijn			https://www.dbnl.org/auteurs/auteur.php?id=ginz001	ginz001	Carlo	Ginzburg	Carlo Ginzburg			1939			male
Peter van Gestel	3 augustus 1937	Amsterdam	1 maart 2019	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=gest006	gest006	Peter	van Gestel	Peter van Gestel/Sander Joosten		Amsterdam	8/3/1937	Amsterdam	3/1/2019	male
Freek Bruinsma	1947				https://www.dbnl.org/auteurs/auteur.php?id=brui099	brui099	Johan Frederik	Bruinsma	Freek Bruinsma			1947			male
I. van der Sluis	1932				https://www.dbnl.org/auteurs/auteur.php?id=slui033	slui033	Isaac	van der Sluis	I. van der Sluis/J. Delecluze			1932			male
J.J. Klinkert	1947				https://www.dbnl.org/auteurs/auteur.php?id=klin031	klin031	Jelle Jan	Klinkert	J.J. Klinkert			1947			male
Jan Noordzij	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=noor021	noor021	Jan	Noordzij	Jan Noordzij			19xx			male
Jan de Bruin	1943				https://www.dbnl.org/auteurs/auteur.php?id=brui132	brui132	Jan	de Bruin	Jan de Bruin			1943			male
Geert Rooijakkers	1943				https://www.dbnl.org/auteurs/auteur.php?id=rooi017	rooi017	Geert	Rooijakkers	Geert Rooijakkers			1943			male
Jan Kommandeur	29 november 1929				https://www.dbnl.org/auteurs/auteur.php?id=komm006	komm006	Jan	Kommandeur	Jan Kommandeur	natuurwetenschapper	Amsterdam	11/29/1929		2012-05-xx	male
F. Vos	1918		19 januari 2000		https://www.dbnl.org/auteurs/auteur.php?id=vos_072	vos_072	Frits	Vos	F. Vos	leraar/docent/hoogleraar		1918		1/19/2000	male
Akira Nagazumi	1929		1987		https://www.dbnl.org/auteurs/auteur.php?id=naga001	naga001	Akira	Nagazumi	Akira Nagazumi			1929		1987	female
Rudy Kousbroek	1 november 1929	Pematang Siantar (Sumatra)	4 april 2010	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=kous001	kous001	Rudy	Kousbroek	Leopold de Buch/Rudy Kousbroek			11/1/1929	Leiden	4/4/2010	male
Ango Sakaguchi	1906		1955		https://www.dbnl.org/auteurs/auteur.php?id=saka001	saka001	Ango	Sakaguchi	Ango Sakaguchi			1906		1955	male
W.G. Snellen	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=snel040	snel040	W.G.	Snellen	W.G. Snellen	vertaler		19xx			male
Jan Noordhoek	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=noor077	noor077	Jan	Noordhoek	Jan Noordhoek	redacteur/journalist		19xx			male
Frans Boenders	28 september 1942	Antwerpen			https://www.dbnl.org/auteurs/auteur.php?id=boen002	boen002	François Frédéric Louis	Boenders	Frans Boenders/Sus Boenders	redacteur/journalist	Antwerpen	9/28/1942			male
E.G. de Poorter	1943				https://www.dbnl.org/auteurs/auteur.php?id=poor017	poor017	Erika Gerlinde	de Poorter	E.G. de Poorter	letterkundige (NIET-neerl.)		1943			female
M.J. de Meijer	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=meij085	meij085	M.J.	de Meijer	M.J. de Meijer			19xx			male
Wim Markus	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=mark004	mark004	Wim	Markus	Wim Markus			19xx			male
Jaap Oostermann	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=oost139	oost139	Jaap	Oostermann	Jaap Oostermann			19xx			male
Rudolf Dekker	1951	Amsterdam			https://www.dbnl.org/auteurs/auteur.php?id=dekk021	dekk021	Rudolf Michel	Dekker	Rudolf Dekker	archeoloog/historicus	Amsterdam	1951			male
J.H. van Geemert	1950				https://www.dbnl.org/auteurs/auteur.php?id=geem001	geem001	Ko	van Geemert	J.H. van Geemert			1950			male
Pieter Spierenburg	1948				https://www.dbnl.org/auteurs/auteur.php?id=spie038	spie038	Petrus Cornelis	Spierenburg	Pieter Spierenburg	leraar/docent/hoogleraar	Haarlem	6/2/1948		3/21/2019	male
Rob van der Veer	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=veer053	veer053	Rob	van der Veer	Rob van der Veen/Rob van der Veer	vertaler		19xx			male
Jacques Kruithof	29 augustus 1947	Rotterdam	7 maart 2008	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=krui010	krui010	Jacques	Kruithof	Jacques Kruithof		Rotterdam	8/29/1947	Amsterdam	3/7/2008	male
J.M.A. Biesheuvel	23 mei 1939	Schiedam			https://www.dbnl.org/auteurs/auteur.php?id=bies004	bies004	Jacobus Martinus Arend	Biesheuvel	D. Blijn/God Zelf/J.M.A. Biesheuvel/Maarten Biesheuvel	zeevarende/bibliothecaris/jurist/archivaris/advocaat	Schiedam	5/23/1939	Leiden	7/30/2020	male
Pieter Lukkenaer	1938		1998		https://www.dbnl.org/auteurs/auteur.php?id=lukk001	lukk001	Petrus Johannes	Lukkenaer	Pieter Lukkenaer			1938		1998	male
Lela Zeckovic	1936	Varazdin			https://www.dbnl.org/auteurs/auteur.php?id=zeck001	zeck001	Lela	Zeckovic	Lela Zeckovic			1936			female
Ben Cami	30 augustus 1920	Durham	15 november 2004	Aalst	https://www.dbnl.org/auteurs/auteur.php?id=cami001	cami001	Benjamin	Cami	Ben Cami	leraar/docent/hoogleraar		8/30/1920	Aalst	11/15/2004	male
José Boyens	1931				https://www.dbnl.org/auteurs/auteur.php?id=boye001	boye001	José	Boyens	José Boyens			1931			female
A.H.G. Rinnooy Kan	1949				https://www.dbnl.org/auteurs/auteur.php?id=rinn001	rinn001	Alexander Hendrik George	Rinnooy Kan	A.H.G. Rinnooy Kan			1949			male
Marcel van Herpen	1945				https://www.dbnl.org/auteurs/auteur.php?id=herp013	herp013	Marcel	van Herpen	Marcel van Herpen			1945			male
H.T. Boonstra	1947				https://www.dbnl.org/auteurs/auteur.php?id=boon021	boon021	H.T.	Boonstra	H.T. Boonstra			1947			female
A.J. Kox	21 juli 1948				https://www.dbnl.org/auteurs/auteur.php?id=kox_001	kox_001	Anne Jacob	Kox	A.J. Kox	archeoloog/historicus/natuurwetenschapper		7/21/1948			male
P.H. Polak	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=pola012	pola012	P.H.	Polak	P.H. Polak	natuurwetenschapper		19xx			male
Constantijn Huygens	4 september 1596	Den Haag	26 maart 1687	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=huyg001	huyg001	Constantijn	Huygens	Constantijn Huygens	musicus/staatsman/jongleur/minstreel/politicus/bestuurder	Den Haag	1596-09-04	Den Haag	1687-03-26	male
Ph. de Vries	1921		2001		https://www.dbnl.org/auteurs/auteur.php?id=vrie208	vrie208	Philip	de Vries	Ph. de Vries			1921		2001	male
H.J.M. Bos	1940				https://www.dbnl.org/auteurs/auteur.php?id=bos_053	bos_053	Hendrik Jan Maarten	Bos	H.J.M. Bos/Henk J.M. Bos	leraar/docent/hoogleraar		1940			male
J. Lodewijks	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=lode019	lode019	J.	Lodewijks	J. Lodewijks			19xx			male
J.C. Ebbinge Wubben	1915				https://www.dbnl.org/auteurs/auteur.php?id=ebbi005	ebbi005	Johan Conrad	Ebbinge Wubben	J.C. Ebbinge Wubben	archivaris/bibliothecaris/vertaler	Rotterdam	1915			male
Dick van den Bosch	1945				https://www.dbnl.org/auteurs/auteur.php?id=bosc129	bosc129	Dick	van den Bosch	Dick van den Bosch	leraar/docent/hoogleraar		1945			male
Federico García Lorca	5 juni 1898	Fuente Vaqueros	17 of 18 augustus 1936		https://www.dbnl.org/auteurs/auteur.php?id=garc006	garc006	Federico	García Lorca	Federico García Lorca			1898-06-05		1936-of-17	male
Emma Brunt	1943				https://www.dbnl.org/auteurs/auteur.php?id=brun011	brun011	Emma	Brunt	Emma Brunt			1943			female
Lodewijk Brunt	1942				https://www.dbnl.org/auteurs/auteur.php?id=brun012	brun012	Lodewijk	Brunt	Lodewijk Brunt			1942			male
Huib van Krimpen	1917				https://www.dbnl.org/auteurs/auteur.php?id=krim001	krim001	Huibrecht	van Krimpen	Huib van Krimpen	illustrator/tekenaar/beeldend kunstenaar		1917		2002	male
J.W. Bezemer	26 juni 1921	Pijnacker	3 oktober 2000	Oldeberkoop	https://www.dbnl.org/auteurs/auteur.php?id=beze005	beze005	Jan Willem	Bezemer	J.W. Bezemer	leraar/hoogleraar/staatsman/docent/bestuurder/politicus	Pijnacker	6/26/1921	Oldeberkoop	10/3/2000	male
Martin Veltman	11 december 1928	Leeuwarden	11 juni 1995	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=velt001	velt001	Martinus Antonius	Veltman	Martin Veltman	staatsman/bestuurder/politicus	Leeuwarden	12/11/1928	Amsterdam	6/11/1995	male
John Kleinen	1948				https://www.dbnl.org/auteurs/auteur.php?id=klei042	klei042	Johannes Gerardus Guido	Kleinen	John Kleinen			1948			male
Edzard Dideric	1950				https://www.dbnl.org/auteurs/auteur.php?id=died009	died009	Edzard	Dideric	Edzard Dideric/Edzard Diederik			1950			male
Remco Ekkers	1 juli 1941	Bergen			https://www.dbnl.org/auteurs/auteur.php?id=ekke001	ekke001	R.J.M.	Ekkers	Remco Ekkers	leraar/docent/hoogleraar	Bergen	7/1/1941			male
Beate Zilversmidt	1942				https://www.dbnl.org/auteurs/auteur.php?id=zilv004	zilv004	Beate	Zilversmidt	Beate Keizer-Zilversmidt/Beate Zilversmidt	filosoof		1942			female
Alfred Pijpers	1947				https://www.dbnl.org/auteurs/auteur.php?id=pijp007	pijp007	Alfred Eduard	Pijpers	Alfred Pijpers			1947			male
J. Popken	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=popk002	popk002	Jan	Popken	J. Popken			19xx			male
Eva Abraham-van der Mark	1937				https://www.dbnl.org/auteurs/auteur.php?id=abra001	abra001	Eva Elisabeth	Abraham-van der Mark	Eva Abraham-van der Mark		Amsterdam	1937			female
Arie de Froe	16 april 1874	Amersfoort	7 december 1966	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=froe002	froe002	Arie	de Froe	Arie de Froe	leraar/docent/hoogleraar	Amersfoort	1874-04-16	Amsterdam	12/7/1966	male
Michael Masuch	1949	Berlijn			https://www.dbnl.org/auteurs/auteur.php?id=masu006	masu006	Jan Michael Friedrich	Masuch	Michael Masuch			1949			male
